RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
4154744,2017,1968,2024,PRIVATE,18,Willowdale,2818 BAYVIEW AVE,3,20,2024-09-30,72,72,0,38,2,2,N/A,N/A,3,1,1,2,3,2,N/A,N/A,1,3,2,2,2,N/A,2,2,N/A,N/A,N/A,2,3,N/A,N/A,N/A,1,2,3,2,N/A,1,2,2,2,3,3,3,2,3,3,3,3,1,3,1,3,3,N1828,43.7657782608,-79.3883472184,313774.078,4847096.221
4228864,2017,1964,2024,PRIVATE,17,Don Valley North,2911 BAYVIEW AVE,3,304,2024-09-24,93,93,0,44,3,3,2,2,3,3,3,1,3,2,N/A,N/A,3,3,3,3,3,N/A,N/A,3,N/A,N/A,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,N1725,43.7705466002,-79.3863327506,313935.534,4847626.159
4156323,2017,1971,2024,PRIVATE,17,Don Valley North,4001 BAYVIEW AVE,12,234,2024-09-19,93,94,-1,46,3,2,2,3,3,3,N/A,1,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,N1721,43.8013167898,-79.3922896323,313197.147,4851099.932
4155674,2017,1971,2023,PRIVATE,17,Don Valley North,4003 BAYVIEW AVE,12,172,2023-09-17,97,97,0,48,3,3,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,N1721,43.8022250044,-79.3928562051,313191.076,4851131.715
4155674,2017,1971,2025,PRIVATE,17,Don Valley North,4003 BAYVIEW AVE,12,172,2025-08-01,99,99,0,46,3,3,3,N/A,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1721,43.8022250044,-79.3928562051,313191.076,4851131.715
4155675,2017,1971,2024,PRIVATE,17,Don Valley North,4005 BAYVIEW AVE,12,235,2024-06-24,97,97,0,49,3,3,3,3,3,2,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,N1721,43.8026375756,-79.3940419226,313187.202,4851155.247
4153145,2017,1932,2023,PRIVATE,09,Davenport,10 BEACONSFIELD AVE,4,11,2023-11-13,90,90,0,34,3,3,2,N/A,N/A,3,N/A,2,3,3,N/A,N/A,3,3,2,2,3,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,2,N/A,N/A,N/A,2,2,3,3,2,3,3,3,3,3,3,1,3,3,3,3,S0937,43.643424173,-79.425313227,310809.709,4833500.853
4153145,2017,1932,2025,PRIVATE,09,Davenport,10 BEACONSFIELD AVE,4,11,2025-07-11,91,91,0,38,3,3,3,N/A,3,3,3,3,N/A,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,N/A,3,1,N/A,N/A,3,1,3,3,3,N/A,3,1,3,1,2,3,3,3,3,3,3,3,3,3,3,3,S0937,43.643424173,-79.425313227,310809.709,4833500.853
4154026,2017,1960,2023,PRIVATE,08,Eglinton-Lawrence,15 BEDFORD PARK AVE,3,39,2023-07-27,95,95,0,39,3,3,N/A,N/A,3,2,3,3,2,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,N0825,43.7269710792,-79.4040459316,312515.092,4842783.43
4154026,2017,1960,2025,PRIVATE,08,Eglinton-Lawrence,15 BEDFORD PARK AVE,3,39,2025-07-09,99,99,0,41,3,3,N/A,N/A,3,3,3,3,3,3,N/A,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N0825,43.7269710792,-79.4040459316,312515.092,4842783.43
